id,text1,text2
ID-20996-SYSTEM-REFERENCE-BERT,"menyusul maraknya aksi teror dan peledakan di sejumlah daerah , mendagri hari sabarno mengusulkan agar para gubernur diberi kewenangan dalam masalah intelijen .
hal itu diakui mendagri akibat euforia .
","mendagri mengusulkan agar para gubernur diberikan kewenangan dalam memperoleh informasi intelijen .
hal itu untuk meredam aksi teror dan peledakan yang marak belakangan ini .
"
ID-20996-REFERENCE-SYSTEM-BERT,"mendagri mengusulkan agar para gubernur diberikan kewenangan dalam memperoleh informasi intelijen .
hal itu untuk meredam aksi teror dan peledakan yang marak belakangan ini .
","menyusul maraknya aksi teror dan peledakan di sejumlah daerah , mendagri hari sabarno mengusulkan agar para gubernur diberi kewenangan dalam masalah intelijen .
hal itu diakui mendagri akibat euforia .
"
ID-23702-SYSTEM-REFERENCE-PG,"partai demokrasi indonesia perjuangan akan mendukung rencana pembentukan pansus bulog sebesar rp 40 miliar yang diduga melibatkan ketua dpr akbar tandjung .
pdi-p bertekad membangun pemerintahan yang bersih dan transparan .
alasannya , selain penyelesaian secara hukum , jalur parlemen juga tepat .","presiden megawati sukarnoputri bertekad membangun pemerintahan yang bersih dan transparan .
pdi-p akan mendukung pembentukan pansus untuk mengungkap kasus penyalahgunaan dana nonbujeter bulog sebesar rp 40 miliar .
"
ID-23702-REFERENCE-SYSTEM-PG,"presiden megawati sukarnoputri bertekad membangun pemerintahan yang bersih dan transparan .
pdi-p akan mendukung pembentukan pansus untuk mengungkap kasus penyalahgunaan dana nonbujeter bulog sebesar rp 40 miliar .
","partai demokrasi indonesia perjuangan akan mendukung rencana pembentukan pansus bulog sebesar rp 40 miliar yang diduga melibatkan ketua dpr akbar tandjung .
pdi-p bertekad membangun pemerintahan yang bersih dan transparan .
alasannya , selain penyelesaian secara hukum , jalur parlemen juga tepat ."
ID-23702-SYSTEM-REFERENCE-BERT,"ketua fraksi pdi - p di dpr roy b . b .
janis menegaskan , sikap fraksinya tetap sama ketika kalah voting dalam sidang pleno dpr .
ia bertekad membangun pemerintahan yang bersih dan transparan .
","presiden megawati sukarnoputri bertekad membangun pemerintahan yang bersih dan transparan .
pdi-p akan mendukung pembentukan pansus untuk mengungkap kasus penyalahgunaan dana nonbujeter bulog sebesar rp 40 miliar .
"
ID-23702-REFERENCE-SYSTEM-BERT,"presiden megawati sukarnoputri bertekad membangun pemerintahan yang bersih dan transparan .
pdi-p akan mendukung pembentukan pansus untuk mengungkap kasus penyalahgunaan dana nonbujeter bulog sebesar rp 40 miliar .
","ketua fraksi pdi - p di dpr roy b . b .
janis menegaskan , sikap fraksinya tetap sama ketika kalah voting dalam sidang pleno dpr .
ia bertekad membangun pemerintahan yang bersih dan transparan .
"
ID-15360-SYSTEM-REFERENCE-PG,"sebanyak 57 anak yang tergabung dalam paduan suara anak bangsa ( psab ) unjuk diri di taman ismail marzuki , jakarta .
mereka juga melantunkan lagu-lagu mancanegara .
mereka juga menyanyikan lagu dari benua afrika .","puluhan anak pinggiran ibu kota mementaskan paduan suara di taman ismail marzuki jakarta .
sebelumnya , mereka sama sekali tak bisa bernyanyi .
"
ID-15360-REFERENCE-SYSTEM-PG,"puluhan anak pinggiran ibu kota mementaskan paduan suara di taman ismail marzuki jakarta .
sebelumnya , mereka sama sekali tak bisa bernyanyi .
","sebanyak 57 anak yang tergabung dalam paduan suara anak bangsa ( psab ) unjuk diri di taman ismail marzuki , jakarta .
mereka juga melantunkan lagu-lagu mancanegara .
mereka juga menyanyikan lagu dari benua afrika ."
ID-15360-SYSTEM-REFERENCE-BERT,"puluhan anak yang tergabung dalam paduan suara anak bangsa ( psab ) unjuk diri di taman ismail marzuki , jakarta .
selain menyanyikan lagu daerah , mereka juga melantunkan lagu - lagu mancanegara .
","puluhan anak pinggiran ibu kota mementaskan paduan suara di taman ismail marzuki jakarta .
sebelumnya , mereka sama sekali tak bisa bernyanyi .
"
ID-15360-REFERENCE-SYSTEM-BERT,"puluhan anak pinggiran ibu kota mementaskan paduan suara di taman ismail marzuki jakarta .
sebelumnya , mereka sama sekali tak bisa bernyanyi .
","puluhan anak yang tergabung dalam paduan suara anak bangsa ( psab ) unjuk diri di taman ismail marzuki , jakarta .
selain menyanyikan lagu daerah , mereka juga melantunkan lagu - lagu mancanegara .
"
ID-16293-SYSTEM-REFERENCE-PG,"gedung-gedung yang dibakar massa di aster , wailela , poka , rumah tiga , perigi lima , dan tantui .
gubernur maluku saleh latuconsina akan membangun kembali pemukiman yang telah hancur agar bisa digunakan lagi .","pemukiman penduduk di aster , wailela , poka , rumah tiga , perigi lima , dan tantui , ambon belum juga ditempati penghuninya .
pemerintah bertekad merenovasi perumahan yang dibakar secara bertahap .
"
ID-16293-REFERENCE-SYSTEM-PG,"pemukiman penduduk di aster , wailela , poka , rumah tiga , perigi lima , dan tantui , ambon belum juga ditempati penghuninya .
pemerintah bertekad merenovasi perumahan yang dibakar secara bertahap .
","gedung-gedung yang dibakar massa di aster , wailela , poka , rumah tiga , perigi lima , dan tantui .
gubernur maluku saleh latuconsina akan membangun kembali pemukiman yang telah hancur agar bisa digunakan lagi ."
ID-16293-SYSTEM-REFERENCE-BERT,"kondisi perumahan di kawasan aster , wailela , poka , rumah tiga , perigi lima , dan tantui , ambon , maluku , tidak terawat .
pemda akan membangun kembali perumahan itu secara bertahap .
","pemukiman penduduk di aster , wailela , poka , rumah tiga , perigi lima , dan tantui , ambon belum juga ditempati penghuninya .
pemerintah bertekad merenovasi perumahan yang dibakar secara bertahap .
"
ID-16293-REFERENCE-SYSTEM-BERT,"pemukiman penduduk di aster , wailela , poka , rumah tiga , perigi lima , dan tantui , ambon belum juga ditempati penghuninya .
pemerintah bertekad merenovasi perumahan yang dibakar secara bertahap .
","kondisi perumahan di kawasan aster , wailela , poka , rumah tiga , perigi lima , dan tantui , ambon , maluku , tidak terawat .
pemda akan membangun kembali perumahan itu secara bertahap .
"
ID-14294-SYSTEM-REFERENCE-PG,"mantan menteri pertambangan dan energi ginandjar kartasasmita mengadukan wakil ketua mpr chotibul umam wiranu .
kuasa hukum ginadjar menilai chotibul telah mencemarkan nama baik ginadjar .
caltex .
tuduhan itu menambah dari kasus korupsi .","ginandjar kartasasmita mengadukan wakil sekjen pkb chotibul umam wiranu kepada mabes polri .
sebab , chotibul dianggap telah mencemarkan nama baik fungsionaris golkar tersebut .
"
ID-14294-REFERENCE-SYSTEM-PG,"ginandjar kartasasmita mengadukan wakil sekjen pkb chotibul umam wiranu kepada mabes polri .
sebab , chotibul dianggap telah mencemarkan nama baik fungsionaris golkar tersebut .
","mantan menteri pertambangan dan energi ginandjar kartasasmita mengadukan wakil ketua mpr chotibul umam wiranu .
kuasa hukum ginadjar menilai chotibul telah mencemarkan nama baik ginadjar .
caltex .
tuduhan itu menambah dari kasus korupsi ."
ID-14294-SYSTEM-REFERENCE-BERT,"mantan mentamben ginandjar kartasasmita mengadukan wakil sekjen pkb chotibul umam wiranu ke mabes polri .
wakil ketua mpr itu dianggap mencemarkan nama baik ginadjar .
","ginandjar kartasasmita mengadukan wakil sekjen pkb chotibul umam wiranu kepada mabes polri .
sebab , chotibul dianggap telah mencemarkan nama baik fungsionaris golkar tersebut .
"
ID-14294-REFERENCE-SYSTEM-BERT,"ginandjar kartasasmita mengadukan wakil sekjen pkb chotibul umam wiranu kepada mabes polri .
sebab , chotibul dianggap telah mencemarkan nama baik fungsionaris golkar tersebut .
","mantan mentamben ginandjar kartasasmita mengadukan wakil sekjen pkb chotibul umam wiranu ke mabes polri .
wakil ketua mpr itu dianggap mencemarkan nama baik ginadjar .
"
ID-14988-SYSTEM-REFERENCE-PG,"nilai ekspor indonesia dikhawatirkan bakal terus menurun menyusul maraknya aksi buruh dan kenaikan harga bbm .
target ekspor yang berujung ekspor ke luar negeri bakal terhambat .
bahkan , pembatalan bakal terjadi delivery order .","akibat maraknya aksi buruh dan harga bbm yang naik dikhawatirkan ekspor indonesia ke luar negeri menurun .
menurut data bulan maret 2001 , ekspor indonesia mencapai us$ 5 , 22 miliar .
"
ID-14988-REFERENCE-SYSTEM-PG,"akibat maraknya aksi buruh dan harga bbm yang naik dikhawatirkan ekspor indonesia ke luar negeri menurun .
menurut data bulan maret 2001 , ekspor indonesia mencapai us$ 5 , 22 miliar .
","nilai ekspor indonesia dikhawatirkan bakal terus menurun menyusul maraknya aksi buruh dan kenaikan harga bbm .
target ekspor yang berujung ekspor ke luar negeri bakal terhambat .
bahkan , pembatalan bakal terjadi delivery order ."
ID-14988-SYSTEM-REFERENCE-BERT,"nilai ekspor indonesia dikhawatirkan bakal terus menurun menyusul maraknya aksi buruh dan kenaikan harga bbm .
penurunan ekspor indonesia ke luar negeri pasca - aksi buruh dinilai bertolak belakang dengan data ekspor pada maret .
","akibat maraknya aksi buruh dan harga bbm yang naik dikhawatirkan ekspor indonesia ke luar negeri menurun .
menurut data bulan maret 2001 , ekspor indonesia mencapai us$ 5 , 22 miliar .
"
ID-14988-REFERENCE-SYSTEM-BERT,"akibat maraknya aksi buruh dan harga bbm yang naik dikhawatirkan ekspor indonesia ke luar negeri menurun .
menurut data bulan maret 2001 , ekspor indonesia mencapai us$ 5 , 22 miliar .
","nilai ekspor indonesia dikhawatirkan bakal terus menurun menyusul maraknya aksi buruh dan kenaikan harga bbm .
penurunan ekspor indonesia ke luar negeri pasca - aksi buruh dinilai bertolak belakang dengan data ekspor pada maret .
"
ID-16678-SYSTEM-REFERENCE-PG,"ketua umum partai golkar akbar tandjung menyatakan tak akan melakukan kompromi politik dengan presiden abdurrahman wahid .
akbar juga menunggu rencana pertemuan antarpimpinan partai politik yang digagas ketua umum partai demokrasi indonesia perjuangan megawati .","akbar tandjung menegaskan tak ada kompromi politik dengan presiden wahid .
akbar mendukung megawati sukarnoputri menjadi presiden ri jika dipilih secara konstitusional dalam si mpr .
"
ID-16678-REFERENCE-SYSTEM-PG,"akbar tandjung menegaskan tak ada kompromi politik dengan presiden wahid .
akbar mendukung megawati sukarnoputri menjadi presiden ri jika dipilih secara konstitusional dalam si mpr .
","ketua umum partai golkar akbar tandjung menyatakan tak akan melakukan kompromi politik dengan presiden abdurrahman wahid .
akbar juga menunggu rencana pertemuan antarpimpinan partai politik yang digagas ketua umum partai demokrasi indonesia perjuangan megawati ."
ID-16678-SYSTEM-REFERENCE-BERT,"partai golkar tak akan melakukan kompromi politik dengan presiden abdurrahman wahid .
menurut ketua umum partai golkar akbar tandjung , pertemuan empat mata hanya silaturahmi biasa .
","akbar tandjung menegaskan tak ada kompromi politik dengan presiden wahid .
akbar mendukung megawati sukarnoputri menjadi presiden ri jika dipilih secara konstitusional dalam si mpr .
"
ID-16678-REFERENCE-SYSTEM-BERT,"akbar tandjung menegaskan tak ada kompromi politik dengan presiden wahid .
akbar mendukung megawati sukarnoputri menjadi presiden ri jika dipilih secara konstitusional dalam si mpr .
","partai golkar tak akan melakukan kompromi politik dengan presiden abdurrahman wahid .
menurut ketua umum partai golkar akbar tandjung , pertemuan empat mata hanya silaturahmi biasa .
"
ID-17389-SYSTEM-REFERENCE-PG,"lima gembong pencurian kendaraan bermotor di ketapang , kalbar , ditangkap polisi .
pelaku lain bernama mursidin , bambang , aken , yuliansyah dan agus .
polisi memperketat pengamanan di pelabuhan sukabangun dan teluk batang .","komplotan spesialis pencuri sepeda motor diringkus polres ketapang , kalimantan barat .
polisi juga menyita 25 unit sepeda motor hasil curian .
"
ID-17389-REFERENCE-SYSTEM-PG,"komplotan spesialis pencuri sepeda motor diringkus polres ketapang , kalimantan barat .
polisi juga menyita 25 unit sepeda motor hasil curian .
","lima gembong pencurian kendaraan bermotor di ketapang , kalbar , ditangkap polisi .
pelaku lain bernama mursidin , bambang , aken , yuliansyah dan agus .
polisi memperketat pengamanan di pelabuhan sukabangun dan teluk batang ."
ID-17389-SYSTEM-REFERENCE-BERT,"polres ketapang , kalimantan barat , menangkap lima gembong curanmor .
dalam penangkapan itu polisi juga mengamankan 24 unit sepeda motor hasil curian .
","komplotan spesialis pencuri sepeda motor diringkus polres ketapang , kalimantan barat .
polisi juga menyita 25 unit sepeda motor hasil curian .
"
ID-17389-REFERENCE-SYSTEM-BERT,"komplotan spesialis pencuri sepeda motor diringkus polres ketapang , kalimantan barat .
polisi juga menyita 25 unit sepeda motor hasil curian .
","polres ketapang , kalimantan barat , menangkap lima gembong curanmor .
dalam penangkapan itu polisi juga mengamankan 24 unit sepeda motor hasil curian .
"
ID-21857-SYSTEM-REFERENCE-PG,"polres tangerang , banten , menahan 200 sopir dan kernet truk .
mereka merusak pos pemungutan retribusi dan satu unit mobil dinas lalu lintas dan angkutan jalan raya ( dllajr ) tangerang , banten .","ratusan sopir dan kernet truk ditahan polres tangerang , banten , karena merusak pos pemungutan retribusi .
mereka juga menganiaya petugas dllajr .
"
ID-21857-REFERENCE-SYSTEM-PG,"ratusan sopir dan kernet truk ditahan polres tangerang , banten , karena merusak pos pemungutan retribusi .
mereka juga menganiaya petugas dllajr .
","polres tangerang , banten , menahan 200 sopir dan kernet truk .
mereka merusak pos pemungutan retribusi dan satu unit mobil dinas lalu lintas dan angkutan jalan raya ( dllajr ) tangerang , banten ."
ID-21857-SYSTEM-REFERENCE-BERT,"ratusan sopir dan kernet truk di tangerang , banten , ditahan polres tangerang .
mereka merusak pos pemungutan retribusi dan satu unit mobil dllajr .
","ratusan sopir dan kernet truk ditahan polres tangerang , banten , karena merusak pos pemungutan retribusi .
mereka juga menganiaya petugas dllajr .
"
ID-21857-REFERENCE-SYSTEM-BERT,"ratusan sopir dan kernet truk ditahan polres tangerang , banten , karena merusak pos pemungutan retribusi .
mereka juga menganiaya petugas dllajr .
","ratusan sopir dan kernet truk di tangerang , banten , ditahan polres tangerang .
mereka merusak pos pemungutan retribusi dan satu unit mobil dllajr .
"
ID-24189-SYSTEM-REFERENCE-PG,"aktivitas bongkar muat peti kemas di pelabuhan soekarno hatta makassar , mulai berangsur pulih .
kenaikan tarif adalah keputusan sepihak yang merugikan pengusaha dan pengguna jasa peti kemas yang akan diekspor terhenti pekan ini .","operasi bongkar muat peti kemas di pelabuhan soekarno hatta makasar sudah berangsur pulih .
pemogokan berakhir setelah kenaikan tarif layanan ditunda hingga hari raya haji mendatang .
"
ID-24189-REFERENCE-SYSTEM-PG,"operasi bongkar muat peti kemas di pelabuhan soekarno hatta makasar sudah berangsur pulih .
pemogokan berakhir setelah kenaikan tarif layanan ditunda hingga hari raya haji mendatang .
","aktivitas bongkar muat peti kemas di pelabuhan soekarno hatta makassar , mulai berangsur pulih .
kenaikan tarif adalah keputusan sepihak yang merugikan pengusaha dan pengguna jasa peti kemas yang akan diekspor terhenti pekan ini ."
ID-24189-SYSTEM-REFERENCE-BERT,"setelah dua hari lumpuh akibat aksi mogok , aktivitas bongkar muat peti kemas di pelabuhan soekarno hatta , makassar , sulsel , mulai berangsur pulih .
kenaikan tarif ditunda hingga usai hari raya haji .
","operasi bongkar muat peti kemas di pelabuhan soekarno hatta makasar sudah berangsur pulih .
pemogokan berakhir setelah kenaikan tarif layanan ditunda hingga hari raya haji mendatang .
"
ID-24189-REFERENCE-SYSTEM-BERT,"operasi bongkar muat peti kemas di pelabuhan soekarno hatta makasar sudah berangsur pulih .
pemogokan berakhir setelah kenaikan tarif layanan ditunda hingga hari raya haji mendatang .
","setelah dua hari lumpuh akibat aksi mogok , aktivitas bongkar muat peti kemas di pelabuhan soekarno hatta , makassar , sulsel , mulai berangsur pulih .
kenaikan tarif ditunda hingga usai hari raya haji .
"
ID-13165-SYSTEM-REFERENCE-PG,"kondisi wimar witoelar sudah berangsur membaik dan sudah sadarkan diri , tapi masih belum dapat berkomunikasi .
seorang putra wimar yang berjaga di ruang tunggu lantai dua rs tampak tertekan dan tak bersedia memberi keterangan .","wimar witoelar dirawat di rumah sakit karena terserang stroke .
jumat dini hari , wimar telah sadarkan diri , namun masih tetap dalam pengawasan yang sangat intensif .
"
ID-13165-REFERENCE-SYSTEM-PG,"wimar witoelar dirawat di rumah sakit karena terserang stroke .
jumat dini hari , wimar telah sadarkan diri , namun masih tetap dalam pengawasan yang sangat intensif .
","kondisi wimar witoelar sudah berangsur membaik dan sudah sadarkan diri , tapi masih belum dapat berkomunikasi .
seorang putra wimar yang berjaga di ruang tunggu lantai dua rs tampak tertekan dan tak bersedia memberi keterangan ."
ID-13165-SYSTEM-REFERENCE-BERT,"kondisi kesehatan juru bicara kepresidenan itu sudah berangsur membaik dan sudah sadarkan diri , tapi masih belum dapat berkomunikasi .
seorang putra presiden abdurrahman wahid yang berjaga di rs pondok indah tak bersedia memberi keterangan .
","wimar witoelar dirawat di rumah sakit karena terserang stroke .
jumat dini hari , wimar telah sadarkan diri , namun masih tetap dalam pengawasan yang sangat intensif .
"
ID-13165-REFERENCE-SYSTEM-BERT,"wimar witoelar dirawat di rumah sakit karena terserang stroke .
jumat dini hari , wimar telah sadarkan diri , namun masih tetap dalam pengawasan yang sangat intensif .
","kondisi kesehatan juru bicara kepresidenan itu sudah berangsur membaik dan sudah sadarkan diri , tapi masih belum dapat berkomunikasi .
seorang putra presiden abdurrahman wahid yang berjaga di rs pondok indah tak bersedia memberi keterangan .
"
ID-17395-SYSTEM-REFERENCE-PG,"terdakwa pembawa bom di taman mini indonesia indah , maria eliza tuwahatu , divonis 10 tahun penjara dalam persidangan di pn jaktim .
kuasa hukum eliza menyatakan tak puas karena putusan itu lebih berbau politis .","pembawa bom di tmii maria eliza tuwahatu divonis 10 tahun penjara .
ia terbukti bersalah membawa tiga bahan peledak berbahaya secara ilegal .
kuasa hukum eliza berencana melakukan banding .
"
ID-17395-REFERENCE-SYSTEM-PG,"pembawa bom di tmii maria eliza tuwahatu divonis 10 tahun penjara .
ia terbukti bersalah membawa tiga bahan peledak berbahaya secara ilegal .
kuasa hukum eliza berencana melakukan banding .
","terdakwa pembawa bom di taman mini indonesia indah , maria eliza tuwahatu , divonis 10 tahun penjara dalam persidangan di pn jaktim .
kuasa hukum eliza menyatakan tak puas karena putusan itu lebih berbau politis ."
ID-17395-SYSTEM-REFERENCE-BERT,"maria eliza tuwahatu , terdakwa pembawa bom di tmii divonis 10 tahun penjara .
kuasa hukum eliza , masiga bugis menyatakan tak puas atas putusan tersebut .
","pembawa bom di tmii maria eliza tuwahatu divonis 10 tahun penjara .
ia terbukti bersalah membawa tiga bahan peledak berbahaya secara ilegal .
kuasa hukum eliza berencana melakukan banding .
"
ID-17395-REFERENCE-SYSTEM-BERT,"pembawa bom di tmii maria eliza tuwahatu divonis 10 tahun penjara .
ia terbukti bersalah membawa tiga bahan peledak berbahaya secara ilegal .
kuasa hukum eliza berencana melakukan banding .
","maria eliza tuwahatu , terdakwa pembawa bom di tmii divonis 10 tahun penjara .
kuasa hukum eliza , masiga bugis menyatakan tak puas atas putusan tersebut .
"
ID-17280-SYSTEM-REFERENCE-PG,"menurut wakil presiden hamzah haz , kehadiran kembali depsos perlu dipertimbangkan .
ia berjanji , akan bertemu presiden megawati sukarnoputri untuk membicarakan masalah tersebut .
"" senin pekan depan saya akan bertemu megawati untuk membahas masalah kabinet .","kehadiran departemen sosial di kabinet baru perlu dipertimbangkan .
kegiatan wapres hamzah haz pada hari pertama hanya diisi dengan acara silaturahmi dengan masyarakat dan tokoh agama .
"
ID-17280-REFERENCE-SYSTEM-PG,"kehadiran departemen sosial di kabinet baru perlu dipertimbangkan .
kegiatan wapres hamzah haz pada hari pertama hanya diisi dengan acara silaturahmi dengan masyarakat dan tokoh agama .
","menurut wakil presiden hamzah haz , kehadiran kembali depsos perlu dipertimbangkan .
ia berjanji , akan bertemu presiden megawati sukarnoputri untuk membicarakan masalah tersebut .
"" senin pekan depan saya akan bertemu megawati untuk membahas masalah kabinet ."
ID-17280-SYSTEM-REFERENCE-BERT,"wapres hamzah haz berjanji akan bertemu presiden megawati sukarnoputri untuk membicarakan masalah depsos .
hamzah mengaku belum mengetahui jumlah kader ppp yang akan duduk di jajaran kabinet .
","kehadiran departemen sosial di kabinet baru perlu dipertimbangkan .
kegiatan wapres hamzah haz pada hari pertama hanya diisi dengan acara silaturahmi dengan masyarakat dan tokoh agama .
"
ID-17280-REFERENCE-SYSTEM-BERT,"kehadiran departemen sosial di kabinet baru perlu dipertimbangkan .
kegiatan wapres hamzah haz pada hari pertama hanya diisi dengan acara silaturahmi dengan masyarakat dan tokoh agama .
","wapres hamzah haz berjanji akan bertemu presiden megawati sukarnoputri untuk membicarakan masalah depsos .
hamzah mengaku belum mengetahui jumlah kader ppp yang akan duduk di jajaran kabinet .
"
ID-18620-SYSTEM-REFERENCE-PG,"revolusi genom akan menjadi lahan penelitian ilmuwan di seluruh dunia .
riset ini memfokuskan pada penelitian sifat-sifat manusia melalui rekayasa genetika .
mempelajari revolusi genom , berarti ilmuwan mempelajari secara menyeluruh sifat-sifat dasar manusia .","riset revolusi genom kini menjadi lahan penelitian ilmuwan dunia , khususnya di amerika serikat dan inggris .
revolusi genom dapat mendeteksi penyebaran penyakit pada manusia .
"
ID-18620-REFERENCE-SYSTEM-PG,"riset revolusi genom kini menjadi lahan penelitian ilmuwan dunia , khususnya di amerika serikat dan inggris .
revolusi genom dapat mendeteksi penyebaran penyakit pada manusia .
","revolusi genom akan menjadi lahan penelitian ilmuwan di seluruh dunia .
riset ini memfokuskan pada penelitian sifat-sifat manusia melalui rekayasa genetika .
mempelajari revolusi genom , berarti ilmuwan mempelajari secara menyeluruh sifat-sifat dasar manusia ."
ID-18620-SYSTEM-REFERENCE-BERT,"ilmuwan di seluruh dunia akan terus mempelajari karakter - sifat manusia melalui rekayasa genetika .
di negara maju seperti amerika serikat dan inggris , revolusi harus menelan biaya besar - besaran .
","riset revolusi genom kini menjadi lahan penelitian ilmuwan dunia , khususnya di amerika serikat dan inggris .
revolusi genom dapat mendeteksi penyebaran penyakit pada manusia .
"
ID-18620-REFERENCE-SYSTEM-BERT,"riset revolusi genom kini menjadi lahan penelitian ilmuwan dunia , khususnya di amerika serikat dan inggris .
revolusi genom dapat mendeteksi penyebaran penyakit pada manusia .
","ilmuwan di seluruh dunia akan terus mempelajari karakter - sifat manusia melalui rekayasa genetika .
di negara maju seperti amerika serikat dan inggris , revolusi harus menelan biaya besar - besaran .
"
ID-25727-SYSTEM-REFERENCE-PG,"sistem penjualan tiket yang dilakukan pelni berlangsung dengan tidak tertib dan semrawut .
tiket kapal pelni yang dijual untuk pemberangkatan 21 hingga 31 desember 2001 , yakni km kambuna , kelud , dan kapal tni angkatan laut kambani telah habis terjual .","keributan nyaris terjadi di kantor pelni medan , sumatra utara .
pelayanan pelni dalam menjual tiket benar-benar mengecewakan ratusan calon penumpang .
"
ID-25727-REFERENCE-SYSTEM-PG,"keributan nyaris terjadi di kantor pelni medan , sumatra utara .
pelayanan pelni dalam menjual tiket benar-benar mengecewakan ratusan calon penumpang .
","sistem penjualan tiket yang dilakukan pelni berlangsung dengan tidak tertib dan semrawut .
tiket kapal pelni yang dijual untuk pemberangkatan 21 hingga 31 desember 2001 , yakni km kambuna , kelud , dan kapal tni angkatan laut kambani telah habis terjual ."
ID-25727-SYSTEM-REFERENCE-BERT,"sistem penjualan tiket di kantor pelni jalan kratatau , medan , sumatra utara , berlangsung dengan tidak tertib dan semrawut .
ratusan calon pemudik kecewa dengan pelayanan pelni .
","keributan nyaris terjadi di kantor pelni medan , sumatra utara .
pelayanan pelni dalam menjual tiket benar-benar mengecewakan ratusan calon penumpang .
"
